match_no,team_1,team_2,batsmen,wicket_status,R,B,M,fours,sixes,SR,special_role,dismissal_mode,bowler_name,fielder,is_fielder_involved,match_date
3rd match,Kings XI Punjab,Delhi Daredevils,K Goel,c Vettori b Mahesh,38.0,21.0,0.0,3.0,3.0,180.95,normal player,caught,Mahesh,Vettori,1,2009-04-19
3rd match,Kings XI Punjab,Delhi Daredevils,Yuvraj Singh,run out (†Karthik/Vettori),16.0,11.0,0.0,0.0,2.0,145.45,captain,run out,no bowler,no fielder,0,2009-04-19
3rd match,Kings XI Punjab,Delhi Daredevils,KC Sangakkara,c Nannes b Vettori,8.0,11.0,0.0,1.0,0.0,72.72,wicket keeper,caught,Vettori,Nannes,1,2009-04-19
3rd match,Kings XI Punjab,Delhi Daredevils,DPMD Jayawardene,c Dilshan b Vettori,6.0,6.0,0.0,1.0,0.0,100.0,normal player,caught,Vettori,Dilshan,1,2009-04-19
3rd match,Kings XI Punjab,Delhi Daredevils,IK Pathan,c Dilshan b Salvi,6.0,7.0,0.0,0.0,0.0,85.71,normal player,caught,Salvi,Dilshan,1,2009-04-19
3rd match,Kings XI Punjab,Delhi Daredevils,PP Chawla,run out (Tiwary),0.0,0.0,0.0,0.0,0.0,0.0,normal player,run out,no bowler,no fielder,0,2009-04-19
3rd match,Kings XI Punjab,Delhi Daredevils,T Kohli,not out,0.0,0.0,0.0,0.0,0.0,0.0,normal player,not out,no bowler,no fielder,0,2009-04-19
3rd match,Kings XI Punjab,Delhi Daredevils,G Gambhir,not out,15.0,13.0,0.0,2.0,0.0,115.38,normal player,not out,no bowler,no fielder,0,2009-04-19
3rd match,Kings XI Punjab,Delhi Daredevils,V Sehwag,not out,38.0,16.0,0.0,4.0,3.0,237.5,captain,not out,no bowler,no fielder,0,2009-04-19
4th match (D/N),Kolkata Knight Riders,Deccan Chargers,BB McCullum,c †Gilchrist b Singh,1.0,3.0,0.0,0.0,0.0,33.33,captain & wicket keeper,caught,Singh,†Gilchrist,1,2009-04-19
4th match (D/N),Kolkata Knight Riders,Deccan Chargers,CH Gayle,c Harmeet Singh b Singh,10.0,12.0,0.0,1.0,1.0,83.33,normal player,caught,Singh,Harmeet Singh,1,2009-04-19
4th match (D/N),Kolkata Knight Riders,Deccan Chargers,SC Ganguly,c Laxman b Harmeet Singh,1.0,12.0,0.0,0.0,0.0,8.33,normal player,caught,Harmeet Singh,Laxman,1,2009-04-19
4th match (D/N),Kolkata Knight Riders,Deccan Chargers,BJ Hodge,c Gibbs b Styris,31.0,34.0,0.0,4.0,0.0,91.17,normal player,caught,Styris,Gibbs,1,2009-04-19
4th match (D/N),Kolkata Knight Riders,Deccan Chargers,A Chopra,st †Gilchrist b Ojha,11.0,19.0,0.0,2.0,0.0,57.89,normal player,stumped,Ojha,b Ojha,1,2009-04-19
4th match (D/N),Kolkata Knight Riders,Deccan Chargers,LR Shukla,st †Gilchrist b Ojha,8.0,6.0,0.0,0.0,1.0,133.33,normal player,stumped,Ojha,b Ojha,1,2009-04-19
4th match (D/N),Kolkata Knight Riders,Deccan Chargers,MC Henriques,c Sharma b Styris,6.0,8.0,0.0,0.0,0.0,75.0,normal player,caught,Styris,Sharma,1,2009-04-19
4th match (D/N),Kolkata Knight Riders,Deccan Chargers,AB Agarkar,run out (Sharma),7.0,3.0,0.0,0.0,1.0,233.33,normal player,run out,no bowler,no fielder,0,2009-04-19
4th match (D/N),Kolkata Knight Riders,Deccan Chargers,M Kartik,not out,10.0,10.0,0.0,0.0,0.0,100.0,normal player,not out,no bowler,no fielder,0,2009-04-19
4th match (D/N),Kolkata Knight Riders,Deccan Chargers,I Sharma,b Singh,9.0,9.0,0.0,0.0,1.0,100.0,normal player,bowled,Singh,no fielder,0,2009-04-19
4th match (D/N),Kolkata Knight Riders,Deccan Chargers,AB Dinda,b Singh,2.0,2.0,0.0,0.0,0.0,100.0,normal player,bowled,Singh,no fielder,0,2009-04-19
4th match (D/N),Kolkata Knight Riders,Deccan Chargers,AC Gilchrist,c Henriques b Dinda,13.0,11.0,0.0,2.0,0.0,118.18,captain & wicket keeper,caught,Dinda,Henriques,1,2009-04-19
4th match (D/N),Kolkata Knight Riders,Deccan Chargers,HH Gibbs,not out,43.0,26.0,0.0,5.0,1.0,165.38,normal player,not out,no bowler,no fielder,0,2009-04-19
4th match (D/N),Kolkata Knight Riders,Deccan Chargers,VVS Laxman,run out (Shukla/†McCullum),10.0,10.0,0.0,1.0,1.0,100.0,normal player,run out,no bowler,no fielder,0,2009-04-19
4th match (D/N),Kolkata Knight Riders,Deccan Chargers,RG Sharma,not out,36.0,32.0,0.0,3.0,2.0,112.5,normal player,not out,no bowler,no fielder,0,2009-04-19
5th match (D/N),Chennai Super Kings,Royal Challengers Bangalore,PA Patel,b Pietersen,30.0,26.0,41.0,2.0,1.0,115.38,normal player,bowled,Pietersen,no fielder,0,2009-04-20
5th match (D/N),Chennai Super Kings,Royal Challengers Bangalore,ML Hayden,run out (Dravid),65.0,35.0,43.0,9.0,2.0,185.71,normal player,run out,no bowler,no fielder,0,2009-04-20
5th match (D/N),Chennai Super Kings,Royal Challengers Bangalore,SK Raina,c Kohli b Kumar,28.0,29.0,31.0,1.0,1.0,96.55,normal player,caught,Kumar,Kohli,1,2009-04-20
5th match (D/N),Chennai Super Kings,Royal Challengers Bangalore,MS Dhoni,c Bishnoi b Kumar,16.0,14.0,17.0,0.0,1.0,114.28,captain & wicket keeper,caught,Kumar,Bishnoi,1,2009-04-20
5th match (D/N),Chennai Super Kings,Royal Challengers Bangalore,A Flintoff,not out,22.0,13.0,18.0,2.0,1.0,169.23,normal player,not out,no bowler,no fielder,0,2009-04-20
5th match (D/N),Chennai Super Kings,Royal Challengers Bangalore,JA Morkel,b Steyn,5.0,3.0,5.0,1.0,0.0,166.66,normal player,bowled,Steyn,no fielder,0,2009-04-20
5th match (D/N),Chennai Super Kings,Royal Challengers Bangalore,P Kumar,b Gony,0.0,3.0,1.0,0.0,0.0,0.0,normal player,bowled,Gony,no fielder,0,2009-04-20
5th match (D/N),Chennai Super Kings,Royal Challengers Bangalore,RV Uthappa,st †Dhoni b Muralitharan,20.0,19.0,38.0,2.0,0.0,105.26,wicket keeper,stumped,Muralitharan,†Dhoni,1,2009-04-20
5th match (D/N),Chennai Super Kings,Royal Challengers Bangalore,JH Kallis,lbw b Morkel,24.0,19.0,22.0,5.0,0.0,126.31,normal player,lbw,Morkel,no fielder,0,2009-04-20
5th match (D/N),Chennai Super Kings,Royal Challengers Bangalore,LRPL Taylor,c & b Flintoff,1.0,4.0,8.0,0.0,0.0,25.0,normal player,caught,Flintoff,Flintoff,1,2009-04-20
5th match (D/N),Chennai Super Kings,Royal Challengers Bangalore,KP Pietersen,lbw b Muralitharan,0.0,1.0,3.0,0.0,0.0,0.0,captain,lbw,Muralitharan,no fielder,0,2009-04-20
5th match (D/N),Chennai Super Kings,Royal Challengers Bangalore,R Dravid,c Flintoff b Balaji,20.0,18.0,35.0,2.0,0.0,111.11,normal player,caught,Balaji,Flintoff,1,2009-04-20
5th match (D/N),Chennai Super Kings,Royal Challengers Bangalore,V Kohli,c Badrinath b Joginder Sharma,11.0,13.0,12.0,0.0,1.0,84.61,normal player,caught,Joginder Sharma,Badrinath,1,2009-04-20
5th match (D/N),Chennai Super Kings,Royal Challengers Bangalore,R Bishnoi,c Balaji b Muralitharan,0.0,1.0,2.0,0.0,0.0,0.0,normal player,caught,Muralitharan,Balaji,1,2009-04-20
5th match (D/N),Chennai Super Kings,Royal Challengers Bangalore,R Vinay Kumar,c Hayden b Balaji,5.0,6.0,5.0,0.0,0.0,83.33,normal player,caught,Balaji,Hayden,1,2009-04-20
5th match (D/N),Chennai Super Kings,Royal Challengers Bangalore,DW Steyn,run out (Raina/†Dhoni),0.0,3.0,0.0,0.0,0.0,0.0,normal player,run out,no bowler,no fielder,0,2009-04-20
5th match (D/N),Chennai Super Kings,Royal Challengers Bangalore,A Kumble,not out,1.0,5.0,8.0,0.0,0.0,20.0,normal player,not out,no bowler,no fielder,0,2009-04-20
6th match,Kings XI Punjab,Kolkata Knight Riders,RS Bopara,c †McCullum b Ganguly,15.0,15.0,0.0,2.0,0.0,100.0,normal player,caught,Ganguly,†McCullum,1,2009-04-21
6th match,Kings XI Punjab,Kolkata Knight Riders,K Goel,c Gayle b Sharma,0.0,7.0,0.0,0.0,0.0,0.0,normal player,caught,Sharma,Gayle,1,2009-04-21
6th match,Kings XI Punjab,Kolkata Knight Riders,IK Pathan,c Kartik b Ganguly,32.0,17.0,0.0,5.0,1.0,188.23,normal player,caught,Ganguly,Kartik,1,2009-04-21
6th match,Kings XI Punjab,Kolkata Knight Riders,KC Sangakkara,run out (Chopra/†McCullum),26.0,24.0,0.0,2.0,0.0,108.33,wicket keeper,run out,no bowler,no fielder,0,2009-04-21
6th match,Kings XI Punjab,Kolkata Knight Riders,Yuvraj Singh,c Yashpal Singh b Henriques,38.0,28.0,0.0,3.0,2.0,135.71,captain,caught,Henriques,Yashpal Singh,1,2009-04-21
6th match,Kings XI Punjab,Kolkata Knight Riders,DPMD Jayawardene,not out,31.0,19.0,0.0,3.0,1.0,163.15,normal player,not out,no bowler,no fielder,0,2009-04-21
6th match,Kings XI Punjab,Kolkata Knight Riders,T Kohli,c †McCullum b Dinda,1.0,4.0,0.0,0.0,0.0,25.0,normal player,caught,Dinda,†McCullum,1,2009-04-21
6th match,Kings XI Punjab,Kolkata Knight Riders,PP Chawla,not out,3.0,6.0,0.0,0.0,0.0,50.0,normal player,not out,no bowler,no fielder,0,2009-04-21
6th match,Kings XI Punjab,Kolkata Knight Riders,BB McCullum,c †Sangakkara b Malik,21.0,16.0,0.0,1.0,2.0,131.25,captain & wicket keeper,caught,Malik,†Sangakkara,1,2009-04-21
6th match,Kings XI Punjab,Kolkata Knight Riders,CH Gayle,not out,44.0,26.0,0.0,2.0,4.0,169.23,normal player,not out,no bowler,no fielder,0,2009-04-21
6th match,Kings XI Punjab,Kolkata Knight Riders,BJ Hodge,not out,10.0,14.0,0.0,0.0,0.0,71.42,normal player,not out,no bowler,no fielder,0,2009-04-21
8th match (D/N),Deccan Chargers,Royal Challengers Bangalore,AC Gilchrist,c Kohli b Pietersen,71.0,45.0,0.0,6.0,5.0,157.77,captain & wicket keeper,caught,Pietersen,Kohli,1,2009-04-22
8th match (D/N),Deccan Chargers,Royal Challengers Bangalore,HH Gibbs,lbw b Kumar,13.0,7.0,0.0,1.0,1.0,185.71,normal player,lbw,Kumar,no fielder,0,2009-04-22
8th match (D/N),Deccan Chargers,Royal Challengers Bangalore,VVS Laxman,c Steyn b Ryder,5.0,10.0,0.0,0.0,0.0,50.0,normal player,caught,Ryder,Steyn,1,2009-04-22
8th match (D/N),Deccan Chargers,Royal Challengers Bangalore,RG Sharma,c Pietersen b Steyn,52.0,30.0,0.0,1.0,5.0,173.33,normal player,caught,Steyn,Pietersen,1,2009-04-22
8th match (D/N),Deccan Chargers,Royal Challengers Bangalore,SB Styris,c Kumar b Pietersen,14.0,8.0,0.0,0.0,1.0,175.0,normal player,caught,Pietersen,Kumar,1,2009-04-22
8th match (D/N),Deccan Chargers,Royal Challengers Bangalore,Y Venugopal Rao,run out (Sharma/†Uthappa),9.0,13.0,0.0,0.0,0.0,69.23,normal player,run out,no bowler,no fielder,0,2009-04-22
8th match (D/N),Deccan Chargers,Royal Challengers Bangalore,DB Ravi Teja,not out,8.0,5.0,0.0,1.0,0.0,160.0,normal player,not out,no bowler,no fielder,0,2009-04-22
8th match (D/N),Deccan Chargers,Royal Challengers Bangalore,FH Edwards,not out,3.0,2.0,0.0,0.0,0.0,150.0,normal player,not out,no bowler,no fielder,0,2009-04-22
8th match (D/N),Deccan Chargers,Royal Challengers Bangalore,JD Ryder,b Edwards,0.0,1.0,0.0,0.0,0.0,0.0,normal player,bowled,Edwards,no fielder,0,2009-04-22
8th match (D/N),Deccan Chargers,Royal Challengers Bangalore,RV Uthappa,c Ravi Teja b Styris,12.0,19.0,0.0,1.0,0.0,63.15,wicket keeper,caught,Styris,Ravi Teja,1,2009-04-22
8th match (D/N),Deccan Chargers,Royal Challengers Bangalore,JH Kallis,c Sharma b Singh,15.0,14.0,0.0,3.0,0.0,107.14,normal player,caught,Singh,Sharma,1,2009-04-22
8th match (D/N),Deccan Chargers,Royal Challengers Bangalore,KP Pietersen,st †Gilchrist b Ojha,11.0,15.0,0.0,1.0,0.0,73.33,captain,stumped,Ojha,b Ojha,1,2009-04-22
8th match (D/N),Deccan Chargers,Royal Challengers Bangalore,R Dravid,c Venugopal Rao b Styris,48.0,27.0,0.0,5.0,2.0,177.77,normal player,caught,Styris,Venugopal Rao,1,2009-04-22
8th match (D/N),Deccan Chargers,Royal Challengers Bangalore,V Kohli,c Gibbs b Singh,50.0,32.0,0.0,7.0,0.0,156.25,normal player,caught,Singh,Gibbs,1,2009-04-22
8th match (D/N),Deccan Chargers,Royal Challengers Bangalore,R Bishnoi,run out (†Gilchrist/Harmeet Singh),1.0,2.0,0.0,0.0,0.0,50.0,normal player,run out,no bowler,no fielder,0,2009-04-22
8th match (D/N),Deccan Chargers,Royal Challengers Bangalore,KV Sharma,c †Gilchrist b Styris,1.0,3.0,0.0,0.0,0.0,33.33,normal player,caught,Styris,†Gilchrist,1,2009-04-22
8th match (D/N),Deccan Chargers,Royal Challengers Bangalore,P Kumar,not out,14.0,6.0,0.0,0.0,2.0,233.33,normal player,not out,no bowler,no fielder,0,2009-04-22
8th match (D/N),Deccan Chargers,Royal Challengers Bangalore,A Kumble,not out,1.0,1.0,0.0,0.0,0.0,100.0,normal player,not out,no bowler,no fielder,0,2009-04-22
9th match,Delhi Daredevils,Chennai Super Kings,G Gambhir,c †Dhoni b Balaji,0.0,1.0,0.0,0.0,0.0,0.0,normal player,caught,Balaji,†Dhoni,1,2009-04-23
9th match,Delhi Daredevils,Chennai Super Kings,V Sehwag,c Morkel b Gony,6.0,9.0,0.0,1.0,0.0,66.66,captain,caught,Gony,Morkel,1,2009-04-23
9th match,Delhi Daredevils,Chennai Super Kings,AB de Villiers,not out,105.0,54.0,0.0,5.0,6.0,194.44,normal player,not out,no bowler,no fielder,0,2009-04-23
9th match,Delhi Daredevils,Chennai Super Kings,TM Dilshan,c Raina b Morkel,50.0,27.0,0.0,7.0,2.0,185.18,normal player,caught,Morkel,Raina,1,2009-04-23
9th match,Delhi Daredevils,Chennai Super Kings,KD Karthik,c Flintoff b Balaji,18.0,16.0,0.0,2.0,0.0,112.5,wicket keeper,caught,Balaji,Flintoff,1,2009-04-23
9th match,Delhi Daredevils,Chennai Super Kings,MK Tiwary,c Flintoff b Balaji,9.0,13.0,0.0,1.0,0.0,69.23,normal player,caught,Balaji,Flintoff,1,2009-04-23
9th match,Delhi Daredevils,Chennai Super Kings,DL Vettori,not out,0.0,0.0,0.0,0.0,0.0,0.0,normal player,not out,no bowler,no fielder,0,2009-04-23
9th match,Delhi Daredevils,Chennai Super Kings,PA Patel,c de Villiers b Sangwan,16.0,15.0,0.0,2.0,0.0,106.66,normal player,caught,Sangwan,de Villiers,1,2009-04-23
9th match,Delhi Daredevils,Chennai Super Kings,ML Hayden,c Nannes b Sangwan,57.0,27.0,0.0,5.0,3.0,211.11,normal player,caught,Sangwan,Nannes,1,2009-04-23
9th match,Delhi Daredevils,Chennai Super Kings,SK Raina,c de Villiers b Sangwan,41.0,27.0,0.0,5.0,1.0,151.85,normal player,caught,Sangwan,de Villiers,1,2009-04-23
9th match,Delhi Daredevils,Chennai Super Kings,MS Dhoni,c †Karthik b Vettori,5.0,7.0,0.0,0.0,0.0,71.42,captain & wicket keeper,caught,Vettori,†Karthik,1,2009-04-23
9th match,Delhi Daredevils,Chennai Super Kings,A Flintoff,c sub (DA Warner) b Nehra,16.0,17.0,0.0,1.0,0.0,94.11,normal player,caught,Nehra,sub (DA Warner),1,2009-04-23
9th match,Delhi Daredevils,Chennai Super Kings,JA Morkel,not out,13.0,14.0,0.0,1.0,0.0,92.85,normal player,not out,no bowler,no fielder,0,2009-04-23
9th match,Delhi Daredevils,Chennai Super Kings,S Badrinath,c sub (DA Warner) b Vettori,7.0,8.0,0.0,0.0,0.0,87.5,normal player,caught,Vettori,sub (DA Warner),1,2009-04-23
9th match,Delhi Daredevils,Chennai Super Kings,MS Gony,run out (Sehwag/Vettori),6.0,2.0,0.0,0.0,1.0,300.0,normal player,run out,no bowler,no fielder,0,2009-04-23
9th match,Delhi Daredevils,Chennai Super Kings,Joginder Sharma,run out (sub [Warner]),4.0,3.0,0.0,0.0,0.0,133.33,normal player,run out,no bowler,no fielder,0,2009-04-23
9th match,Delhi Daredevils,Chennai Super Kings,L Balaji,run out (Sangwan/Nannes),0.0,0.0,0.0,0.0,0.0,0.0,normal player,run out,no bowler,no fielder,0,2009-04-23
9th match,Delhi Daredevils,Chennai Super Kings,M Muralitharan,not out,0.0,1.0,0.0,0.0,0.0,0.0,normal player,not out,no bowler,no fielder,0,2009-04-23
10th match (D/N),Rajasthan Royals,Kolkata Knight Riders,GC Smith,c Gayle b Mendis,15.0,21.0,0.0,1.0,0.0,71.42,normal player,caught,Mendis,Gayle,1,2009-04-23
10th match (D/N),Rajasthan Royals,Kolkata Knight Riders,PC Valthaty,c Sharma b Anureet Singh,5.0,7.0,0.0,1.0,0.0,71.42,normal player,caught,Anureet Singh,Sharma,1,2009-04-23
10th match (D/N),Rajasthan Royals,Kolkata Knight Riders,RJ Quiney,c Gayle b Sharma,6.0,2.0,0.0,0.0,1.0,300.0,normal player,caught,Sharma,Gayle,1,2009-04-23
10th match (D/N),Rajasthan Royals,Kolkata Knight Riders,YK Pathan,c Yashpal Singh b Mendis,42.0,21.0,0.0,6.0,2.0,200.0,normal player,caught,Mendis,Yashpal Singh,1,2009-04-23
10th match (D/N),Rajasthan Royals,Kolkata Knight Riders,RA Jadeja,c Yashpal Singh b Sharma,22.0,26.0,0.0,0.0,0.0,84.61,normal player,caught,Sharma,Yashpal Singh,1,2009-04-23
10th match (D/N),Rajasthan Royals,Kolkata Knight Riders,AD Mascarenhas,b Anureet Singh,27.0,28.0,0.0,2.0,0.0,96.42,normal player,bowled,Anureet Singh,no fielder,0,2009-04-23
10th match (D/N),Rajasthan Royals,Kolkata Knight Riders,AS Raut,not out,21.0,13.0,0.0,1.0,2.0,161.53,normal player,not out,no bowler,no fielder,0,2009-04-23
10th match (D/N),Rajasthan Royals,Kolkata Knight Riders,SK Warne,not out,2.0,2.0,0.0,0.0,0.0,100.0,captain,not out,no bowler,no fielder,0,2009-04-23
10th match (D/N),Rajasthan Royals,Kolkata Knight Riders,CH Gayle,c Jadeja b Warne,41.0,33.0,0.0,2.0,4.0,124.24,normal player,caught,Warne,Jadeja,1,2009-04-23
10th match (D/N),Rajasthan Royals,Kolkata Knight Riders,BB McCullum,c Kamran Khan b Mascarenhas,3.0,9.0,0.0,0.0,0.0,33.33,captain & wicket keeper,caught,Mascarenhas,Kamran Khan,1,2009-04-23
10th match (D/N),Rajasthan Royals,Kolkata Knight Riders,LR Shukla,c †Rawat b Kamran Khan,13.0,13.0,0.0,1.0,0.0,100.0,normal player,caught,Kamran Khan,†Rawat,1,2009-04-23
10th match (D/N),Rajasthan Royals,Kolkata Knight Riders,BJ Hodge,c †Rawat b Patel,5.0,7.0,0.0,0.0,0.0,71.42,normal player,caught,Patel,†Rawat,1,2009-04-23
10th match (D/N),Rajasthan Royals,Kolkata Knight Riders,SC Ganguly,c †Rawat b Kamran Khan,46.0,30.0,0.0,4.0,2.0,153.33,normal player,caught,Kamran Khan,†Rawat,1,2009-04-23
10th match (D/N),Rajasthan Royals,Kolkata Knight Riders,SB Bangar,c Smith b Kamran Khan,2.0,9.0,0.0,0.0,0.0,22.22,normal player,caught,Kamran Khan,Smith,1,2009-04-23
10th match (D/N),Rajasthan Royals,Kolkata Knight Riders,Yashpal Singh,c Raut b Warne,20.0,18.0,0.0,3.0,0.0,111.11,normal player,caught,Warne,Raut,1,2009-04-23
