match_date,Ground,Team 1,Team 2,Winner,year,month,day,win_mode,margin,toss_winner,toss_decision,match_no
2008-05-01,Hyderabad,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,2008,5,1,Wickets,7.0,Kings XI Punjab,field first,18
2008-05-01,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,2008,5,1,Runs,45.0,Rajasthan Royals,bat first,19
2008-05-02,Chennai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,2008,5,2,Wickets,8.0,Chennai Super Kings,bat first,20
2008-05-03,"Bengaluru, Bangalore",Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,2008,5,3,Runs,3.0,Deccan Chargers,field first,21
2008-05-03,"Mohali, Chandigarh",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,2008,5,3,Runs,9.0,Kings XI Punjab,bat first,22
2008-05-04,Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians,2008,5,4,Runs,29.0,Delhi Capitals,field first,23
2008-05-04,Jaipur,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,2008,5,4,Wickets,8.0,Chennai Super Kings,bat first,24
2008-05-05,"Bengaluru, Bangalore",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,2008,5,5,Wickets,6.0,Kings XI Punjab,field first,25
2008-05-06,Chennai,Chennai Super Kings,Deccan Chargers,Deccan Chargers,2008,5,6,Wickets,7.0,Deccan Chargers,field first,26
2008-05-07,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,2008,5,7,Wickets,7.0,Mumbai Indians,field first,27
2008-05-08,Delhi,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,2008,5,8,Wickets,4.0,Chennai Super Kings,field first,28
2008-05-08,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,2008,5,8,Runs,5.0,Kolkata Knight Riders,bat first,29
2008-05-09,Jaipur,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,2008,5,9,Wickets,8.0,Rajasthan Royals,field first,30
2008-05-10,Chennai,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,2008,5,10,Runs,18.0,Kings XI Punjab,field first,31
2008-05-11,Hyderabad,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,2008,5,11,Runs,23.0,Kolkata Knight Riders,bat first,32
2008-05-11,Jaipur,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,2008,5,11,Wickets,3.0,Rajasthan Royals,field first,33
2008-05-12,"Mohali, Chandigarh",Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,2008,5,12,Wickets,9.0,Royal Challengers Bangalore,bat first,34
2008-05-13,Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,2008,5,13,Runs,23.0,Kolkata Knight Riders,bat first,35
2008-05-14,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,2008,5,14,Wickets,9.0,Mumbai Indians,field first,36
2008-05-15,Delhi,Delhi Capitals,Deccan Chargers,Delhi Capitals,2008,5,15,Runs,12.0,Deccan Chargers,field first,37
2008-05-16,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,2008,5,16,Wickets,8.0,Mumbai Indians,field first,38
2008-05-17,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,2008,5,17,Runs,65.0,Royal Challengers Bangalore,field first,39
2008-05-17,Delhi,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,2008,5,17,Runs,6.0,Delhi Capitals,bat first,40
2008-05-18,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,2008,5,18,Runs,3.0,Kolkata Knight Riders,bat first,41
2008-05-18,Hyderabad,Deccan Chargers,Mumbai Indians,Mumbai Indians,2008,5,18,Runs,25.0,Deccan Chargers,field first,42
2008-05-19,"Bengaluru, Bangalore",Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,2008,5,19,Wickets,5.0,Delhi Capitals,field first,43
2008-05-20,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,2008,5,20,Wickets,6.0,Rajasthan Royals,field first,44
2008-05-21,Mumbai,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,2008,5,21,Runs,1.0,Mumbai Indians,field first,45
2008-05-21,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,2008,5,21,Runs,14.0,Royal Challengers Bangalore,bat first,46
2008-05-22,Delhi,Delhi Capitals,Kolkata Knight Riders,Match,2008,5,22,,0.0,no toss,no toss,47
2008-05-23,"Mohali, Chandigarh",Kings XI Punjab,Deccan Chargers,Kings XI Punjab,2008,5,23,Wickets,6.0,Kings XI Punjab,field first,48
2008-05-24,Chennai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,2008,5,24,Runs,10.0,Rajasthan Royals,bat first,49
2008-05-24,Delhi,Delhi Capitals,Mumbai Indians,Delhi Capitals,2008,5,24,Wickets,5.0,Delhi Capitals,field first,50
2008-05-25,Hyderabad,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,2008,5,25,Wickets,5.0,Deccan Chargers,bat first,51
2008-05-25,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,2008,5,25,Wickets,3.0,Kings XI Punjab,bat first,52
2008-05-26,Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,2008,5,26,Wickets,5.0,Rajasthan Royals,field first,53
2008-05-27,Hyderabad,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,2008,5,27,Wickets,7.0,Deccan Chargers,bat first,54
2008-05-28,"Bengaluru, Bangalore",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,2008,5,28,Wickets,9.0,Mumbai Indians,field first,55
2008-05-28,"Mohali, Chandigarh",Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,2008,5,28,Runs,41.0,Rajasthan Royals,field first,56
2008-05-30,Mumbai,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,2008,5,30,Runs,105.0,Delhi Capitals,field first,57
2008-05-31,Mumbai,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,2008,5,31,Wickets,9.0,Kings XI Punjab,bat first,58
2008-06-01,Mumbai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,2008,6,1,Wickets,3.0,Rajasthan Royals,field first,59
2009-04-18,Cape Town,Chennai Super Kings,Mumbai Indians,Mumbai Indians,2009,4,18,Runs,19.0,Chennai Super Kings,field first,60
2009-04-18,Cape Town,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,2009,4,18,Runs,75.0,Royal Challengers Bangalore,bat first,61
2009-04-19,Cape Town,Delhi Capitals,Kings XI Punjab,Delhi Capitals,2009,4,19,Wickets,10.0,Delhi Capitals,field first,62
2009-04-19,Cape Town,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,2009,4,19,Wickets,8.0,Kolkata Knight Riders,bat first,63
2009-04-20,Port Elizabeth,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,2009,4,20,Runs,92.0,Chennai Super Kings,bat first,64
2009-04-21,Durban,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,2009,4,21,Runs,11.0,Kolkata Knight Riders,field first,65
2009-04-21,Durban,Mumbai Indians,Rajasthan Royals,abandoned,2009,4,21,,0.0,no toss,no toss,66
2009-04-22,Cape Town,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,2009,4,22,Runs,24.0,Deccan Chargers,bat first,67
2009-04-23,Durban,Chennai Super Kings,Delhi Capitals,Delhi Capitals,2009,4,23,Runs,9.0,Delhi Capitals,bat first,68
2009-04-23,Cape Town,Kolkata Knight Riders,Rajasthan Royals,tied,2009,4,23,,0.0,Kolkata Knight Riders,field first,69
2009-04-24,Durban,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,2009,4,24,Wickets,7.0,Royal Challengers Bangalore,bat first,70
2009-04-25,Durban,Deccan Chargers,Mumbai Indians,Deccan Chargers,2009,4,25,Runs,12.0,Deccan Chargers,bat first,71
2009-04-25,Cape Town,Chennai Super Kings,Kolkata Knight Riders,abandoned,2009,4,25,,0.0,no toss,no toss,72
2009-04-26,Cape Town,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,2009,4,26,Runs,27.0,Kings XI Punjab,bat first,73
2009-04-26,Port Elizabeth,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,2009,4,26,Wickets,6.0,Royal Challengers Bangalore,bat first,74
2009-04-27,Durban,Chennai Super Kings,Deccan Chargers,Deccan Chargers,2009,4,27,Wickets,6.0,Deccan Chargers,field first,75
2009-04-27,Port Elizabeth,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,2009,4,27,Runs,92.0,Mumbai Indians,bat first,76
2009-04-28,Centurion,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,2009,4,28,Wickets,5.0,Delhi Capitals,bat first,77
2009-04-29,Durban,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,2009,4,29,Wickets,5.0,Kolkata Knight Riders,bat first,78
2009-04-29,Durban,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,2009,4,29,Runs,3.0,Kings XI Punjab,bat first,79
2009-04-30,Centurion,Deccan Chargers,Delhi Capitals,Delhi Capitals,2009,4,30,Wickets,6.0,Delhi Capitals,field first,80
2009-04-30,Centurion,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,2009,4,30,Runs,38.0,Rajasthan Royals,field first,81
2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,2009,5,1,Runs,9.0,Mumbai Indians,bat first,82
2009-05-01,Durban,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,2009,5,1,Runs,8.0,Royal Challengers Bangalore,bat first,83
2009-05-02,Port Elizabeth,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,2009,5,2,Wickets,3.0,Deccan Chargers,bat first,84
2009-05-02,Johannesburg,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,2009,5,2,Runs,18.0,Delhi Capitals,field first,85
2009-05-03,Johannesburg,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,2009,5,3,Wickets,9.0,Mumbai Indians,bat first,86
2009-05-03,Port Elizabeth,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,2009,5,3,Wickets,6.0,Kolkata Knight Riders,bat first,87
2009-05-04,East London,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,2009,5,4,Runs,78.0,Chennai Super Kings,bat first,88
2009-05-05,Durban,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,2009,5,5,Runs,78.0,Kings XI Punjab,field first,89
2009-05-05,Durban,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,2009,5,5,Wickets,9.0,Kolkata Knight Riders,bat first,90
2009-05-06,Centurion,Deccan Chargers,Mumbai Indians,Deccan Chargers,2009,5,6,Runs,19.0,Deccan Chargers,bat first,91
2009-05-07,Centurion,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,2009,5,7,Wickets,7.0,Rajasthan Royals,field first,92
2009-05-07,Centurion,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,2009,5,7,Runs,12.0,Chennai Super Kings,bat first,93
2009-05-08,East London,Delhi Capitals,Mumbai Indians,Delhi Capitals,2009,5,8,Wickets,7.0,Mumbai Indians,bat first,94
2009-05-09,Kimberley,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,2009,5,9,Wickets,3.0,Kings XI Punjab,field first,95
2009-05-09,Kimberley,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,2009,5,9,Wickets,7.0,Rajasthan Royals,bat first,96
2009-05-10,Port Elizabeth,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,2009,5,10,Runs,16.0,Mumbai Indians,bat first,97
2009-05-10,Johannesburg,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,2009,5,10,Wickets,7.0,Delhi Capitals,field first,98
2009-05-11,Kimberley,Deccan Chargers,Rajasthan Royals,Deccan Chargers,2009,5,11,Runs,53.0,Deccan Chargers,bat first,99
2009-05-12,Centurion,Kings XI Punjab,Mumbai Indians,Mumbai Indians,2009,5,12,Wickets,8.0,Kings XI Punjab,bat first,100
2009-05-12,Centurion,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,2009,5,12,Wickets,6.0,Royal Challengers Bangalore,field first,101
2009-05-13,Durban,Deccan Chargers,Delhi Capitals,Delhi Capitals,2009,5,13,Runs,12.0,Deccan Chargers,field first,102
2009-05-14,Durban,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,2009,5,14,Wickets,2.0,Chennai Super Kings,bat first,103
2009-05-14,Durban,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,2009,5,14,Runs,2.0,Rajasthan Royals,bat first,104
2009-05-15,Bloemfontein,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,2009,5,15,Wickets,6.0,Kings XI Punjab,field first,105
2009-05-16,Port Elizabeth,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,2009,5,16,Wickets,7.0,Mumbai Indians,bat first,106
2009-05-16,Johannesburg,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,2009,5,16,Wickets,6.0,Deccan Chargers,field first,107
2009-05-17,Johannesburg,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,2009,5,17,Runs,1.0,Deccan Chargers,field first,108
2009-05-17,Bloemfontein,Delhi Capitals,Rajasthan Royals,Delhi Capitals,2009,5,17,Runs,14.0,Delhi Capitals,bat first,109
2009-05-18,Centurion,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,2009,5,18,Wickets,7.0,Chennai Super Kings,bat first,110
2009-05-19,Johannesburg,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,2009,5,19,Wickets,7.0,Delhi Capitals,bat first,111
2009-05-20,Durban,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,2009,5,20,Wickets,4.0,Kolkata Knight Riders,field first,112
2009-05-20,Durban,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,2009,5,20,Runs,24.0,Chennai Super Kings,bat first,113
2009-05-21,Centurion,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,2009,5,21,Runs,12.0,Royal Challengers Bangalore,bat first,114
2009-05-21,Centurion,Delhi Capitals,Mumbai Indians,Delhi Capitals,2009,5,21,Wickets,4.0,Delhi Capitals,field first,115
2009-05-22,Centurion,Delhi Capitals,Deccan Chargers,Deccan Chargers,2009,5,22,Wickets,6.0,Deccan Chargers,field first,116
2009-05-23,Johannesburg,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,2009,5,23,Wickets,6.0,Royal Challengers Bangalore,field first,117
2009-05-24,Johannesburg,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,2009,5,24,Runs,6.0,Royal Challengers Bangalore,field first,118
2010-03-12,Mumbai,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,2010,3,12,Runs,11.0,Deccan Chargers,field first,119
2010-03-13,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,2010,3,13,Runs,4.0,Mumbai Indians,bat first,120
2010-03-13,"Mohali, Chandigarh",Kings XI Punjab,Delhi Capitals,Delhi Capitals,2010,3,13,Wickets,5.0,Delhi Capitals,field first,121
2010-03-14,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,2010,3,14,Wickets,7.0,Kolkata Knight Riders,field first,122
2010-03-14,Chennai,Chennai Super Kings,Deccan Chargers,Deccan Chargers,2010,3,14,Runs,31.0,Deccan Chargers,bat first,123
2010-03-15,Cuttack,Rajasthan Royals,Delhi Capitals,Delhi Capitals,2010,3,15,Wickets,6.0,Delhi Capitals,field first,124
2010-03-16,"Bengaluru, Bangalore",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,2010,3,16,Wickets,8.0,Kings XI Punjab,bat first,125
2010-03-16,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2010,3,16,Runs,55.0,Chennai Super Kings,bat first,126
2010-03-17,Delhi,Delhi Capitals,Mumbai Indians,Mumbai Indians,2010,3,17,Runs,98.0,Delhi Capitals,field first,127
2010-03-18,"Bengaluru, Bangalore",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,2010,3,18,Wickets,10.0,Royal Challengers Bangalore,field first,128
2010-03-19,Delhi,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,2010,3,19,Wickets,5.0,Delhi Capitals,bat first,129
2010-03-19,Cuttack,Deccan Chargers,Kings XI Punjab,Deccan Chargers,2010,3,19,Runs,6.0,Kings XI Punjab,field first,130
2010-03-20,Ahmedabad,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,2010,3,20,Runs,34.0,Rajasthan Royals,bat first,131
2010-03-20,Cuttack,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,2010,3,20,Wickets,7.0,Mumbai Indians,bat first,132
2010-03-21,Chennai,Chennai Super Kings,Kings XI Punjab,Match,2010,3,21,Super over,0.0,Chennai Super Kings,field first,133
2010-03-21,Cuttack,Deccan Chargers,Delhi Capitals,Deccan Chargers,2010,3,21,Runs,10.0,Deccan Chargers,bat first,134
2010-03-22,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,2010,3,22,Wickets,7.0,Kolkata Knight Riders,bat first,135
2010-03-23,"Bengaluru, Bangalore",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,2010,3,23,Runs,36.0,Chennai Super Kings,field first,136
2010-03-24,"Mohali, Chandigarh",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,2010,3,24,Runs,31.0,Kings XI Punjab,field first,137
2010-03-25,"Bengaluru, Bangalore",Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,2010,3,25,Runs,17.0,Royal Challengers Bangalore,field first,138
2010-03-25,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,2010,3,25,Wickets,5.0,Mumbai Indians,field first,139
2010-03-26,Ahmedabad,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,2010,3,26,Wickets,8.0,Deccan Chargers,bat first,140
2010-03-27,"Mohali, Chandigarh",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,2010,3,27,Runs,39.0,Kolkata Knight Riders,bat first,141
2010-03-28,Ahmedabad,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,2010,3,28,Runs,17.0,Rajasthan Royals,bat first,142
2010-03-28,Mumbai,Deccan Chargers,Mumbai Indians,Mumbai Indians,2010,3,28,Runs,41.0,Deccan Chargers,field first,143
2010-03-29,Delhi,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,2010,3,29,Runs,40.0,Delhi Capitals,bat first,144
2010-03-30,Mumbai,Mumbai Indians,Kings XI Punjab,Mumbai Indians,2010,3,30,Wickets,4.0,Mumbai Indians,field first,145
2010-03-31,Delhi,Delhi Capitals,Rajasthan Royals,Delhi Capitals,2010,3,31,Runs,67.0,Delhi Capitals,bat first,146
2010-03-31,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,2010,3,31,Wickets,5.0,Royal Challengers Bangalore,bat first,147
2010-04-01,Kolkata,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,2010,4,1,Runs,24.0,Kolkata Knight Riders,bat first,148
2010-04-02,Cuttack,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,2010,4,2,Wickets,6.0,Kings XI Punjab,bat first,149
2010-04-03,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,2010,4,3,Runs,23.0,Chennai Super Kings,bat first,150
2010-04-03,Mumbai,Mumbai Indians,Deccan Chargers,Mumbai Indians,2010,4,3,Runs,63.0,Mumbai Indians,bat first,151
2010-04-04,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,2010,4,4,Wickets,8.0,Kolkata Knight Riders,bat first,152
2010-04-04,Delhi,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,2010,4,4,Runs,37.0,Delhi Capitals,bat first,153
2010-04-05,Nagpur,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,2010,4,5,Runs,2.0,Rajasthan Royals,bat first,154
2010-04-06,Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,2010,4,6,Runs,24.0,Chennai Super Kings,bat first,155
2010-04-07,Jaipur,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,2010,4,7,Wickets,9.0,Kings XI Punjab,bat first,156
2010-04-07,Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,2010,4,7,Runs,14.0,Kolkata Knight Riders,bat first,157
2010-04-08,"Bengaluru, Bangalore",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,2010,4,8,Wickets,7.0,Deccan Chargers,field first,158
2010-04-09,"Mohali, Chandigarh",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,2010,4,9,Wickets,6.0,Mumbai Indians,bat first,159
2010-04-10,Nagpur,Deccan Chargers,Chennai Super Kings,Deccan Chargers,2010,4,10,Wickets,6.0,Chennai Super Kings,bat first,160
2010-04-10,"Bengaluru, Bangalore",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,2010,4,10,Wickets,7.0,Royal Challengers Bangalore,field first,161
2010-04-11,Delhi,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,2010,4,11,Wickets,7.0,Delhi Capitals,bat first,162
2010-04-11,Jaipur,Rajasthan Royals,Mumbai Indians,Mumbai Indians,2010,4,11,Runs,37.0,Rajasthan Royals,field first,163
2010-04-12,Nagpur,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,2010,4,12,Runs,13.0,Royal Challengers Bangalore,field first,164
2010-04-13,Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians,2010,4,13,Runs,39.0,Mumbai Indians,bat first,165
2010-04-13,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2010,4,13,Wickets,9.0,Kolkata Knight Riders,bat first,166
2010-04-14,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,2010,4,14,Wickets,5.0,Rajasthan Royals,bat first,167
2010-04-15,Chennai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,2010,4,15,Wickets,6.0,Chennai Super Kings,bat first,168
2010-04-16,Dharamsala,Kings XI Punjab,Deccan Chargers,Deccan Chargers,2010,4,16,Wickets,5.0,Deccan Chargers,field first,169
2010-04-17,"Bengaluru, Bangalore",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,2010,4,17,Runs,57.0,Royal Challengers Bangalore,field first,170
2010-04-17,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,2010,4,17,Wickets,8.0,Rajasthan Royals,bat first,171
2010-04-18,Dharamsala,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,2010,4,18,Wickets,6.0,Chennai Super Kings,field first,172
2010-04-18,Delhi,Delhi Capitals,Deccan Chargers,Deccan Chargers,2010,4,18,Runs,11.0,Deccan Chargers,bat first,173
2010-04-19,Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,2010,4,19,Wickets,9.0,Mumbai Indians,bat first,174
2010-04-21,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,2010,4,21,Runs,35.0,Mumbai Indians,bat first,175
2010-04-22,Mumbai,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,2010,4,22,Runs,38.0,Chennai Super Kings,bat first,176
2010-04-24,Mumbai,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,2010,4,24,Wickets,9.0,Deccan Chargers,bat first,177
2010-04-25,Mumbai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,2010,4,25,Runs,22.0,Chennai Super Kings,bat first,178
2011-04-08,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2011,4,8,Runs,2.0,Chennai Super Kings,bat first,179
2011-04-09,Hyderabad (Deccan),Deccan Chargers,Rajasthan Royals,Rajasthan Royals,2011,4,9,Wickets,8.0,Rajasthan Royals,field first,180
2011-04-09,Kochi,Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore,2011,4,9,Wickets,6.0,Kochi Tuskers Kerala,bat first,181
2011-04-10,Mumbai,Pune Warriors,Kings XI Punjab,Pune Warriors,2011,4,10,Wickets,7.0,Kings XI Punjab,bat first,182
2011-04-10,Delhi,Delhi Capitals,Mumbai Indians,Mumbai Indians,2011,4,10,Wickets,8.0,Delhi Capitals,bat first,183
2011-04-11,Kolkata,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,2011,4,11,Runs,9.0,Kolkata Knight Riders,bat first,184
