,batsmen,R,B,M,fours,sixes,SR,boundary_contribution,100s,50s,times_played,average
54,AT Rayudu,3300.0,2620.0,2675.0,278.0,120.0,15764.960000000005,12.722680164352246,1.0,18.0,140,23.571428571428573
55,AUK Pathan,39.0,23.0,6.0,5.0,2.0,921.66,0.6071428571428572,0.0,0.0,7,5.571428571428571
56,Abdur Razzak,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
57,Abhishek Sharma,72.0,42.0,22.0,4.0,5.0,742.0799999999999,0.41884057971014493,0.0,0.0,6,12.0
58,Anirudh Singh,63.0,66.0,0.0,6.0,1.0,277.56,0.30753968253968256,0.0,0.0,4,15.75
59,Ankit Sharma,87.0,67.0,105.0,7.0,4.0,1038.6000000000001,0.5628571428571428,0.0,0.0,10,8.7
60,Ankit Soni,7.0,9.0,14.0,0.0,1.0,350.0,0.14285714285714285,0.0,0.0,3,2.3333333333333335
61,Anureet Singh,36.0,47.0,69.0,2.0,1.0,516.6600000000001,0.2583333333333333,0.0,0.0,9,4.0
62,Avesh Khan,4.0,3.0,6.0,1.0,0.0,133.33,0.25,0.0,0.0,1,4.0
63,Azhar Mahmood,388.0,303.0,467.0,39.0,13.0,2253.5899999999997,2.2663444763581566,0.0,2.0,21,18.476190476190474
64,B Akhil,76.0,55.0,6.0,5.0,5.0,1267.52,0.8648860398860398,0.0,0.0,11,6.909090909090909
65,B Chipli,280.0,251.0,72.0,28.0,7.0,2071.08,2.040949128285194,0.0,1.0,21,13.333333333333334
66,B Kumar,183.0,192.0,261.0,17.0,3.0,3456.8199999999997,2.0353396603396603,0.0,0.0,43,4.255813953488372
67,B Laughlin,5.0,13.0,23.0,0.0,0.0,83.33,0.0,0.0,0.0,4,1.25
68,B Lee,124.0,97.0,41.0,8.0,8.0,2072.9500000000003,1.414563492063492,0.0,0.0,19,6.526315789473684
69,B Stanlake,5.0,2.0,0.0,1.0,0.0,250.0,0.2,0.0,0.0,1,5.0
70,B Sumanth,35.0,37.0,0.0,3.0,0.0,497.21,0.29166666666666663,0.0,0.0,4,8.75
71,BA Bhatt,6.0,7.0,2.0,0.0,1.0,300.0,0.16666666666666666,0.0,0.0,2,3.0
72,BA Stokes,635.0,481.0,470.0,43.0,25.0,3695.5399999999995,2.732223266701763,1.0,1.0,33,19.242424242424242
73,BAW Mendis,3.0,6.0,9.0,0.0,0.0,150.0,0.0,0.0,0.0,3,1.0
74,BB McCullum,2880.0,2186.0,2245.0,293.0,130.0,12625.160000000002,13.252618344959334,2.0,14.0,109,26.422018348623855
75,BB Samantray,125.0,113.0,169.0,13.0,2.0,880.16,0.6782379782379782,0.0,1.0,8,15.625
76,BB Sran,10.0,14.0,21.0,0.0,0.0,540.0,0.0,0.0,0.0,9,1.1111111111111112
77,BCJ Cutting,238.0,141.0,155.0,15.0,19.0,2508.9900000000002,1.8323573573573575,0.0,0.0,17,14.0
78,BE Hendricks,1.0,3.0,11.0,0.0,0.0,50.0,0.0,0.0,0.0,3,0.3333333333333333
79,BJ Haddin,18.0,11.0,0.0,2.0,1.0,163.63,0.16666666666666666,0.0,0.0,1,18.0
80,BJ Hodge,1400.0,1118.0,790.0,122.0,43.0,6737.739999999998,5.4113234662650855,0.0,6.0,63,22.22222222222222
81,BJ Rohrer,193.0,140.0,182.0,21.0,5.0,1138.57,0.8867445054945053,0.0,1.0,8,24.125
82,BMAJ Mendis,23.0,27.0,46.0,0.0,0.0,192.8,0.0,0.0,0.0,3,7.666666666666667
83,BR Dunk,40.0,35.0,46.0,7.0,0.0,349.78,0.5333333333333333,0.0,0.0,3,13.333333333333334
84,BW Hilfenhaus,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
85,Basil Thampi,32.0,35.0,45.0,1.0,1.0,512.5,0.16783216783216784,0.0,0.0,8,4.0
86,Bipul Sharma,187.0,123.0,151.0,11.0,9.0,2275.03,1.264484126984127,0.0,0.0,17,11.0
87,C Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
88,C Madan,15.0,19.0,0.0,3.0,0.0,78.94,0.2,0.0,0.0,1,15.0
89,C Munro,177.0,141.0,117.0,19.0,8.0,1131.78,1.102631165131165,0.0,0.0,12,14.75
90,C Nanda,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
91,C de Grandhomme,303.0,225.0,198.0,18.0,18.0,2255.63,1.6483942680320298,0.0,0.0,21,14.428571428571429
92,CA Ingram,205.0,180.0,167.0,22.0,5.0,1638.42,1.2931372099345224,0.0,0.0,15,13.666666666666666
93,CA Lynn,1280.0,910.0,829.0,128.0,63.0,5154.64,5.489894879599274,0.0,10.0,41,31.21951219512195
94,CA Pujara,390.0,391.0,344.0,50.0,4.0,2037.01,2.517339824866781,0.0,1.0,22,17.727272727272727
95,CH Gayle,4484.0,2969.0,3394.0,368.0,326.0,16176.999999999995,17.690973799252916,6.0,29.0,124,36.16129032258065
96,CH Morris,517.0,328.0,487.0,37.0,27.0,4460.780000000001,2.46483237795818,0.0,2.0,39,13.256410256410257
97,CJ Anderson,538.0,423.0,651.0,40.0,31.0,2993.8900000000003,2.8202322367405808,0.0,3.0,29,18.551724137931036
98,CJ Ferguson,98.0,117.0,86.0,9.0,0.0,696.59,0.5861989459815546,0.0,0.0,8,12.25
99,CJ Jordan,3.0,5.0,8.0,0.0,0.0,75.0,0.0,0.0,0.0,2,1.5
100,CJ McKay,8.0,15.0,21.0,0.0,0.0,53.33,0.0,0.0,0.0,1,8.0
101,CK Kapugedera,16.0,23.0,0.0,0.0,0.0,155.54,0.0,0.0,0.0,3,5.333333333333333
102,CK Langeveldt,8.0,9.0,0.0,0.0,1.0,100.0,0.125,0.0,0.0,2,4.0
103,CL White,954.0,755.0,806.0,76.0,36.0,4706.06,3.5224017479316774,0.0,6.0,45,21.2
104,CM Gautam,169.0,150.0,246.0,17.0,6.0,1359.9499999999998,1.5738455988455988,0.0,0.0,13,13.0
105,CR Brathwaite,181.0,111.0,102.0,10.0,16.0,2098.48,1.625758316011394,0.0,0.0,14,12.928571428571429
106,CR Woakes,63.0,66.0,63.0,5.0,2.0,974.8700000000001,0.7492424242424243,0.0,0.0,11,5.7272727272727275
107,CRD Fernando,4.0,3.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,2,2.0
108,D Kalyankrishna,3.0,8.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,1,3.0
109,D Salunkhe,33.0,24.0,4.0,5.0,0.0,430.0,0.3205128205128205,0.0,0.0,3,11.0
110,D Wiese,127.0,90.0,147.0,12.0,4.0,1061.9099999999999,0.6893749762961278,0.0,0.0,8,15.875
111,D du Preez,10.0,13.0,0.0,0.0,0.0,76.92,0.0,0.0,0.0,1,10.0
112,DA Miller,1850.0,1333.0,1954.0,126.0,87.0,9682.28,7.1826783943561106,1.0,9.0,77,24.025974025974026
113,DA Warner,4706.0,3305.0,3929.0,458.0,181.0,15653.179999999993,15.215272671139573,4.0,44.0,126,37.34920634920635
114,DAJ Bracewell,12.0,9.0,16.0,1.0,0.0,133.33,0.08333333333333333,0.0,0.0,1,12.0
115,DB Das,304.0,261.0,243.0,23.0,16.0,2713.73,2.463865781611726,0.0,0.0,22,13.818181818181818
116,DB Ravi Teja,375.0,317.0,31.0,35.0,9.0,2941.7400000000002,2.5458494208494207,0.0,1.0,25,15.0
117,DE Bollinger,21.0,23.0,7.0,1.0,1.0,240.94,0.125,0.0,0.0,4,5.25
118,DH Yagnik,170.0,137.0,154.0,23.0,2.0,2073.51,1.9317618445227551,0.0,0.0,17,10.0
119,DJ Bravo,1483.0,1156.0,1064.0,117.0,61.0,12926.719999999994,9.20229551561026,0.0,5.0,102,14.53921568627451
120,DJ Harris,111.0,101.0,133.0,11.0,5.0,436.96999999999997,0.6381858902575588,0.0,0.0,4,27.75
121,DJ Hooda,524.0,412.0,553.0,27.0,24.0,5619.979999999999,2.823912565476033,0.0,1.0,45,11.644444444444444
122,DJ Hussey,1322.0,1075.0,1027.0,90.0,60.0,6518.990000000001,5.406802259587801,0.0,5.0,61,21.672131147540984
123,DJ Jacobs,92.0,98.0,7.0,10.0,4.0,571.3,0.7193181818181817,0.0,0.0,7,13.142857142857142
124,DJ Muthuswami,1.0,3.0,7.0,0.0,0.0,33.33,0.0,0.0,0.0,2,0.5
125,DJ Thornely,39.0,53.0,0.0,2.0,2.0,186.1,0.13333333333333333,0.0,0.0,4,9.75
126,DJG Sammy,295.0,241.0,358.0,15.0,18.0,2413.8399999999997,1.5743917754376533,0.0,1.0,20,14.75
127,DJM Short,115.0,99.0,0.0,11.0,5.0,823.02,1.0303030303030303,0.0,0.0,7,16.428571428571427
128,DL Chahar,71.0,44.0,23.0,2.0,6.0,744.99,0.48827838827838826,0.0,0.0,7,10.142857142857142
129,DL Vettori,121.0,113.0,39.0,11.0,2.0,1518.3799999999999,0.6864892115345835,0.0,0.0,17,7.117647058823529
130,DM Bravo,6.0,5.0,8.0,1.0,0.0,120.0,0.16666666666666666,0.0,0.0,1,6.0
131,DNT Zoysa,11.0,9.0,0.0,1.0,0.0,192.85,0.1,0.0,0.0,2,5.5
132,DP Nannes,4.0,13.0,4.0,0.0,0.0,77.27,0.0,0.0,0.0,3,1.3333333333333333
133,DP Vijaykumar,1.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2,0.5
134,DPMD Jayawardene,1802.0,1462.0,980.0,200.0,39.0,8727.499999999998,8.98109102676581,1.0,10.0,78,23.102564102564102
135,DR Martyn,19.0,24.0,0.0,1.0,0.0,79.16,0.05263157894736842,0.0,0.0,1,19.0
136,DR Shorey,13.0,17.0,14.0,0.0,1.0,151.38,0.125,0.0,0.0,2,6.5
137,DR Smith,2385.0,1764.0,2030.0,245.0,117.0,10190.1,11.403585145417988,0.0,17.0,89,26.797752808988765
138,DS Kulkarni,101.0,106.0,104.0,7.0,2.0,1945.94,0.980952380952381,0.0,0.0,22,4.590909090909091
139,DS Lehmann,18.0,18.0,0.0,3.0,0.0,156.25,0.17647058823529413,0.0,0.0,2,9.0
140,DT Christian,446.0,374.0,322.0,22.0,19.0,4019.41,2.3607245673953265,0.0,0.0,34,13.117647058823529
141,DT Patil,13.0,13.0,0.0,1.0,0.0,475.0,0.25,0.0,0.0,2,6.5
142,DW Steyn,166.0,158.0,129.0,14.0,3.0,3103.7,1.7181872221345906,0.0,0.0,36,4.611111111111111
143,E Lewis,430.0,328.0,81.0,36.0,26.0,1673.8799999999999,1.792762683176485,0.0,2.0,16,26.875
144,EJG Morgan,854.0,705.0,861.0,72.0,34.0,4755.99,4.306301333159553,0.0,4.0,45,18.977777777777778
145,ER Dwivedi,24.0,14.0,16.0,2.0,2.0,311.11,0.35789473684210527,0.0,0.0,2,12.0
146,F Behardien,14.0,13.0,29.0,2.0,0.0,228.57,0.3111111111111111,0.0,0.0,3,4.666666666666667
147,F du Plessis,1853.0,1462.0,2155.0,163.0,59.0,7301.059999999999,6.275598588147471,0.0,12.0,64,28.953125
148,FH Edwards,4.0,5.0,0.0,0.0,0.0,183.32999999999998,0.0,0.0,0.0,2,2.0
149,FY Fazal,183.0,173.0,0.0,22.0,1.0,972.81,0.9862394378760604,0.0,0.0,11,16.636363636363637
150,G Gambhir,4217.0,3404.0,3449.0,492.0,59.0,16124.740000000005,16.65667303009883,0.0,36.0,153,27.562091503267975
151,GB Hogg,22.0,22.0,44.0,1.0,0.0,458.18,0.07692307692307693,0.0,0.0,6,3.6666666666666665
152,GC Smith,739.0,668.0,2.0,94.0,9.0,2378.9999999999995,2.8528794972192197,0.0,4.0,29,25.482758620689655
153,GC Viljoen,3.0,7.0,11.0,0.0,0.0,99.99,0.0,0.0,0.0,3,1.0
154,GD McGrath,4.0,5.0,0.0,1.0,0.0,133.33,0.25,0.0,0.0,3,1.3333333333333333
155,GH Vihari,284.0,321.0,523.0,23.0,1.0,1852.39,1.3979841975994742,0.0,0.0,23,12.347826086956522
156,GJ Bailey,663.0,544.0,752.0,59.0,19.0,3990.459999999999,3.2285672846583617,0.0,2.0,37,17.91891891891892
157,GJ Maxwell,1397.0,867.0,959.0,109.0,91.0,8161.479999999999,6.52252080205766,0.0,6.0,68,20.544117647058822
158,GR Napier,15.0,16.0,0.0,1.0,0.0,93.75,0.06666666666666667,0.0,0.0,1,15.0
159,Gurkeerat Singh,440.0,342.0,497.0,47.0,11.0,2931.51,2.6505868851862835,0.0,2.0,27,16.296296296296298
160,H Das,2.0,5.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1,2.0
161,H Klaasen,66.0,57.0,20.0,5.0,1.0,538.09,0.3234126984126984,0.0,0.0,6,11.0
162,HF Gurney,1.0,5.0,22.0,0.0,0.0,20.0,0.0,0.0,0.0,1,1.0
163,HH Gibbs,886.0,807.0,188.0,83.0,31.0,3437.58,4.112664116334663,0.0,6.0,36,24.61111111111111
164,HH Pandya,1068.0,690.0,813.0,72.0,68.0,8978.379999999997,6.136038033265052,0.0,3.0,61,17.508196721311474
165,HM Amla,577.0,407.0,647.0,60.0,21.0,1687.2699999999998,1.6293875216334381,2.0,3.0,16,36.0625
166,HV Patel,107.0,69.0,71.0,3.0,9.0,1852.2800000000002,0.9333333333333333,0.0,0.0,18,5.944444444444445
167,Harbhajan Singh,829.0,600.0,646.0,79.0,42.0,10356.129999999997,7.464821494141763,0.0,1.0,88,9.420454545454545
168,Harmeet Singh,18.0,12.0,11.0,3.0,0.0,408.33000000000004,0.21428571428571427,0.0,0.0,6,3.0
169,Harpreet Brar,20.0,12.0,22.0,2.0,1.0,166.66,0.15,0.0,0.0,1,20.0
170,Harpreet Singh,20.0,26.0,10.0,0.0,0.0,268.42,0.0,0.0,0.0,3,6.666666666666667
171,I Malhotra,7.0,4.0,0.0,1.0,0.0,175.0,0.14285714285714285,0.0,0.0,1,7.0
172,I Sharma,55.0,61.0,48.0,4.0,2.0,1946.6599999999999,0.9277777777777778,0.0,0.0,25,2.2
173,IC Pandey,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
174,IK Pathan,1139.0,946.0,609.0,87.0,37.0,9956.899999999998,6.488425000240184,0.0,1.0,82,13.890243902439025
175,IR Jaggi,76.0,97.0,96.0,6.0,0.0,489.7,0.22714285714285715,0.0,0.0,7,10.857142857142858
176,IS Sodhi,7.0,17.0,23.0,0.0,0.0,71.2,0.0,0.0,0.0,2,3.5
177,Imran Tahir,20.0,27.0,44.0,3.0,0.0,513.0799999999999,0.7,0.0,0.0,8,2.5
178,Iqbal Abdulla,88.0,84.0,114.0,9.0,1.0,1091.2800000000002,0.6545454545454545,0.0,0.0,13,6.769230769230769
179,Ishan Kishan,695.0,531.0,552.0,64.0,34.0,3667.8,3.506081547868441,0.0,3.0,33,21.060606060606062
180,J Arunkumar,23.0,23.0,10.0,5.0,0.0,162.74,0.22727272727272727,0.0,0.0,3,7.666666666666667
181,J Botha,409.0,359.0,197.0,39.0,5.0,3244.61,2.4635424406569855,0.0,1.0,28,14.607142857142858
182,J Suchith,54.0,47.0,94.0,4.0,2.0,581.9,0.17647058823529413,0.0,0.0,7,7.714285714285714
183,J Syed Mohammad,29.0,26.0,24.0,4.0,0.0,761.81,0.5149572649572649,0.0,0.0,5,5.8
184,J Theron,10.0,12.0,12.0,1.0,0.0,266.65999999999997,0.14285714285714285,0.0,0.0,4,2.5
185,J Yadav,6.0,10.0,19.0,0.0,0.0,104.75,0.0,0.0,0.0,2,3.0
186,JA Morkel,974.0,686.0,402.0,61.0,55.0,9190.51,5.840572253293837,0.0,3.0,68,14.323529411764707
187,JC Archer,82.0,61.0,52.0,6.0,4.0,993.72,0.6417378917378918,0.0,0.0,13,6.3076923076923075
188,JC Buttler,1386.0,919.0,869.0,140.0,61.0,6172.790000000001,5.667576761740388,0.0,9.0,45,30.8
189,JD Ryder,604.0,458.0,346.0,69.0,19.0,2969.5399999999995,3.26101198207935,0.0,4.0,29,20.82758620689655
190,JD Unadkat,55.0,54.0,32.0,6.0,1.0,750.1500000000001,0.34134615384615385,0.0,0.0,17,3.235294117647059
191,JDP Oram,106.0,108.0,9.0,6.0,5.0,1037.0600000000002,0.718199180860587,0.0,0.0,12,8.833333333333334
192,JDS Neesham,42.0,46.0,52.0,3.0,1.0,279.38,0.29924242424242425,0.0,0.0,3,14.0
193,JE Taylor,3.0,3.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,2,1.5
194,JEC Franklin,327.0,301.0,302.0,25.0,8.0,1658.3000000000002,1.3218052882298843,0.0,1.0,16,20.4375
195,JH Kallis,2427.0,2222.0,1190.0,255.0,44.0,8721.61,10.23203211828462,0.0,17.0,96,25.28125
196,JJ Bumrah,35.0,38.0,43.0,2.0,1.0,612.1099999999999,0.3958333333333333,0.0,0.0,13,2.6923076923076925
197,JJ Roy,179.0,134.0,51.0,18.0,8.0,918.4800000000001,0.9987861600764826,0.0,1.0,8,22.375
198,JJ van der Wath,18.0,16.0,0.0,1.0,1.0,220.0,0.14285714285714285,0.0,0.0,3,6.0
199,JL Denly,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
200,JM Bairstow,445.0,283.0,392.0,48.0,18.0,1280.6999999999998,1.2028217772719971,1.0,2.0,10,44.5
201,JM Kemp,26.0,24.0,0.0,1.0,1.0,187.5,0.09090909090909091,0.0,0.0,2,13.0
202,JO Holder,38.0,31.0,47.0,4.0,2.0,481.54,0.5080128205128205,0.0,0.0,5,7.6
203,JP Duminy,2029.0,1636.0,1597.0,126.0,79.0,8915.62,6.733268664329276,0.0,14.0,77,26.350649350649352
204,JP Faulkner,527.0,389.0,638.0,36.0,23.0,5968.119999999999,3.8155604272919272,0.0,0.0,45,11.71111111111111
205,JPR Scantlebury-Searles,8.0,6.0,0.0,0.0,1.0,640.0,0.16666666666666666,0.0,0.0,2,4.0
206,JR Hopes,417.0,306.0,108.0,49.0,11.0,2498.28,2.1596196630703672,0.0,4.0,19,21.94736842105263
207,Jaskaran Singh,8.0,11.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,5,1.6
208,Joginder Sharma,36.0,30.0,0.0,1.0,2.0,399.99,0.1875,0.0,0.0,6,6.0
209,K Goel,218.0,231.0,50.0,17.0,9.0,1242.61,1.2780207494603781,0.0,0.0,17,12.823529411764707
210,K Gowtham,144.0,83.0,29.0,10.0,10.0,2562.48,1.5674103674103674,0.0,0.0,17,8.470588235294118
211,K Rabada,69.0,79.0,124.0,5.0,2.0,455.32,0.31565656565656564,0.0,0.0,7,9.857142857142858
212,K Upadhyay,12.0,9.0,8.0,0.0,1.0,237.5,0.09090909090909091,0.0,0.0,2,6.0
213,KA Pollard,2755.0,1877.0,2464.0,181.0,176.0,17545.07,13.201251943252517,0.0,14.0,135,20.40740740740741
214,KAJ Roach,10.0,9.0,0.0,1.0,0.0,111.11,0.1,0.0,0.0,1,10.0
215,KB Arun Karthik,51.0,51.0,66.0,4.0,1.0,660.0,0.40789473684210525,0.0,0.0,8,6.375
216,KC Cariappa,24.0,21.0,29.0,0.0,2.0,553.3299999999999,0.19444444444444442,0.0,0.0,5,4.8
217,KC Sangakkara,1687.0,1392.0,580.0,195.0,27.0,7399.46,7.1486729542751215,0.0,10.0,68,24.808823529411764
218,KD Karthik,3654.0,2815.0,2854.0,357.0,101.0,18979.839999999997,16.010834227566452,0.0,18.0,163,22.41717791411043
219,KH Pandya,891.0,610.0,705.0,86.0,35.0,6262.2,5.001322336405177,0.0,1.0,48,18.5625
220,KJ Abbott,13.0,8.0,12.0,0.0,1.0,300.0,0.08333333333333333,0.0,0.0,3,4.333333333333333
221,KK Ahmed,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
222,KK Cooper,116.0,68.0,85.0,9.0,8.0,1887.4800000000002,1.2776286213786214,0.0,0.0,14,8.285714285714286
223,KK Nair,1464.0,1139.0,1534.0,158.0,39.0,7171.77,6.816084194177562,0.0,10.0,63,23.238095238095237
224,KL Rahul,1977.0,1431.0,1600.0,176.0,81.0,7414.780000000001,7.286131343113789,1.0,16.0,58,34.08620689655172
225,KM Jadhav,1079.0,853.0,1196.0,92.0,38.0,7828.8499999999985,5.899915905180749,0.0,4.0,70,15.414285714285715
226,KMA Paul,18.0,24.0,46.0,1.0,1.0,402.85,0.34285714285714286,0.0,0.0,6,3.0
227,KMDN Kulasekara,5.0,3.0,8.0,1.0,0.0,166.66,0.2,0.0,0.0,1,5.0
228,KP Appanna,2.0,4.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,3,0.6666666666666666
229,KP Pietersen,1001.0,743.0,785.0,91.0,40.0,4116.299999999999,3.9687707064775375,1.0,4.0,36,27.805555555555557
230,KS Williamson,1302.0,964.0,709.0,110.0,44.0,5000.58,4.034827190750712,0.0,12.0,41,31.75609756097561
231,KV Sharma,317.0,274.0,431.0,18.0,14.0,3839.5499999999997,2.254556384877592,0.0,0.0,35,9.057142857142857
232,KW Richardson,36.0,39.0,56.0,2.0,1.0,330.0,0.11538461538461539,0.0,0.0,4,9.0
233,Kamran Akmal,128.0,78.0,10.0,13.0,8.0,970.82,1.0542976939203355,0.0,1.0,6,21.333333333333332
234,Kamran Khan,3.0,5.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,3,1.0
